V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Name R3,Name R2,Name R1,Name B3,Name B2,Name B1,ResponseID,worktimeArray,tasktime,offTask,onTask,totalOnTask,totalOffTask,pageNo,perPagePT,ConsentForm,Consent,Q337,Gender,Gender_TEXT,Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Race_7,Race_7_TEXT,PixStatement,Q375,B1,B1_1,B1_2,B1_3,B1_4,B2,B2_1,B2_2,B2_3,B2_4,B3,B3_1,B3_2,B3_3,B3_4,TimerBlackInvis_1,TimerBlackInvis_2,TimerBlackInvis_3,TimerBlackInvis_4,BlackInvisibility_1,BlackInvisibility_2,BlackInvisibility_3,BlackInvisibility_4,BlackInvisibility_5,BlackInvisibility_6,BlackInvisibility_7,BlackInvisibility_8,TimerBlkConInvis_1,TimerBlkConInvis_2,TimerBlkConInvis_3,TimerBlkConInvis_4,BlkContemporaryInvis_1,BlkContemporaryInvis_2,BlkContemporaryInvis_3,BlkContemporaryInvis_4,BlkContemporaryInvis_5,BlkContemporaryInvis_6,TimerBlkRaceMini_1,TimerBlkRaceMini_2,TimerBlkRaceMini_3,TimerBlkRaceMini_4,BlkRacismMini_1,BlkRacismMini_2,BlkRacismMini_3,BlkRacismMini_4,BlkRacismMini_5,BlkRacismMini_6,BlkRacismMini_7,BlkRacismMini_8,BlkRacismMini_9,BlkRacismMini_10,TimerGovRep_1,TimerGovRep_2,TimerGovRep_3,TimerGovRep_4,BlkGovtRep_1,BlkGovtRep_2,BlkGovtRep_3,BlkGovtRep_4,BlkGovtRep_5,BlkGovtRep_6,BlkGovtRep_7,BlkGovtRep_8,BlkGovtRep_9,Q353,R1,R1_1,R1_2,R1_3,R1_4,R2,R2_1,R2_2,R2_3,R2_4,R3,R3_1,R3_2,R3_3,R3_4,TimerInvis_1,TimerInvis_2,TimerInvis_3,TimerInvis_4,NtvInvisibility_1,NtvInvisibility_2,NtvInvisibility_3,NtvInvisibility_4,NtvInvisibility_5,NtvInvisibility_6,NtvInvisibility_7,NtvInvisibility_8,TimerContempInvis_1,TimerContempInvis_2,TimerContempInvis_3,TimerContempInvis_4,NtvContemporaryInvis_1,NtvContemporaryInvis_2,NtvContemporaryInvis_3,NtvContemporaryInvis_4,NtvContemporaryInvis_5,NtvContemporaryInvis_6,TimerNtvRaceMini_1,TimerNtvRaceMini_2,TimerNtvRaceMini_3,TimerNtvRaceMini_4,NtvRacismMini_1,NtvRacismMini_2,NtvRacismMini_3,NtvRacismMini_4,NtvRacismMini_5,NtvRacismMini_6,NtvRacismMini_7,NtvRacismMini_8,NtvRacismMini_9,NtvRacismMini_10,TimerNGoveRep_1,TimerNGoveRep_2,TimerNGoveRep_3,TimerNGoveRep_4,NtvGovtRep_1,NtvGovtRep_2,NtvGovtRep_3,NtvGovtRep_4,NtvGovtRep_5,NtvGovtRep_6,NtvGovtRep_7,NtvGovtRep_8,NtvGovtRep_9,RFCommon,RFMediaCoverage,BFCommon,BFMediaCoverage,RFImportant,BFImportant,OE_Respond,SES,BorninUS,Q107,BornWhere,MovedtoUSAge,LongestState,LengthState,FatherUSBorn,MotherUSBorn,PrimaryCaretaker,PrimaryCaretaker_TEXT,PrimaryEd,SecondCaretaker,SecondCaretaker_TEXT,SecondEdu,Age,Religion,Religion_TEXT,Religiosity,LibCon,Q176,Debrief,MTurkCode,DO-BR-FL_466,DO-BR-FL_463,DO-BR-FL_459,DO-BR-FL_455,DO-BR-FL_451,DO-BR-FL_443,DO-BR-FL_285,DO-BR-FL_290,DO-BR-FL_376,DO-BR-FL_391,DO-BR-FL_401,DO-BR-FL_306,DO-BR-FL_381,DO-BR-FL_409,DO-BR-FL_415,DO-BR-FL_419,DO-BR-FL_428,DO-BR-FL_434,DO-BR-FL_439,DO-BL-Commonality,DO-BL-Importance,DO-Q-NtvInvisibility1,DO-Q-BlackInvis1,DO-Q-NtvRaceMini,DO-Q-BlkRaceMini,DO-Q-NtvInvisibility2,DO-Q-BlackInvis2,DO-Q-BlkGovRep,DO-Q-NtvGovRep,LocationLatitude,LocationLongitude,LocationAccuracy
R_DI6okuu7WjqZR4Z,Default Response Set,Anonymous,,,74.69.233.242,0,4/30/2019 12:17,4/30/2019 12:28,1,Sarah,Anne,Allison,Todd,Connor,Kristen,R_DI6okuu7WjqZR4Z,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,2,6,1,4,1,5,4,6,4,1,1,6,1,6,5.202,30.587,31.41,8,3,3,3,4,4,3,2,2,3.67,20.8,22.328,7,1,7,1,1,1,1,3.01,31.403,31.983,10,4,6,1,7,7,7,7,1,1,1,4.085,37.045,37.947,9,3,1,3,6,2,3,6,4,7,1,1,4,6,2,4,1,5,4,6,4,1,2,6,2,4,12.875,43.312,43.972,8,3,2,2,3,2,2,3,2,5.623,21.621,22.267,6,1,6,1,2,2,2,5.233,42.314,42.992,12,5,7,1,7,7,7,6,1,1,1,4.285,37.069,37.743,9,2,5,2,6,2,4,2,5,7,2,2,2,4,6,6,I think people in today's society see Blackface as being more prejudice than Redface. It seems we hear more about African Americans and racism than Native Americans and racism.,4,1,1,,,New Hampshire,47,1,1,1,,2,3,,3,47,3,,6,7,none,1,1,FL_468,FL_465,FL_461,FL_456,FL_453,FL_445,FL_304,,,,,R3|R2|R1,Native Minimization|Native Gov Rep,B1|B2|B3,Black Minimization|Black Gov Rep,,,,,BFMediaCoverage|RFCommon|RFMediaCoverage|BFCommon,RFImportant|BFImportant,6|5|3|7|1|2|8|4,2|5|3|4|8|6|1|7,4|2|5|9|3|7|6|10|8|1,8|7|10|4|3|9|5|1|6|2,2|4|3|5|1|6,4|5|1|2|3|6,2|8|4|5|9|7|6|1|3,5|4|7|3|1|2|9|8|6,42.96270752,-72.29550171,-1
R_2QMtDnDb6bIea16,Default Response Set,Anonymous,,,47.227.122.222,0,4/30/2019 12:17,4/30/2019 12:28,1,Greg,Mathew,Brett,Claire,Emily,Wyatt,R_2QMtDnDb6bIea16,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,4,5,4,3,1,5,5,5,3,1,4,5,4,3,19.561,49.005,49.768,8,3,1,2,4,2,1,2,1,5.111,16.843,18.046,6,2,4,2,2,2,2,6.54,35.848,37.013,10,6,2,5,2,5,3,3,2,2,2,4.735,31.452,32.266,9,5,5,5,2,5,5,4,5,5,,1,5,4,3,3,1,4,5,4,3,1,6,3,6,2,10.452,51.452,52.729,10,3,2,1,1,3,3,3,1,4.616,19.14,20.195,6,3,4,4,4,4,3,5.849,48.7,49.629,11,5,4,7,4,4,5,4,4,3,6,4.433,44.525,45.217,9,3,4,5,3,3,3,4,4,3,1,1,1,2,2,2,"Yes, I think there are more people prejudiced against blacks.",2,1,1,n/a,n/a,indiana,47,1,1,1,,2,3,,2,47,8,spiritual,5,3,n/a,1,1,FL_467,FL_464,FL_460,FL_457,FL_454,FL_444,FL_418,,,,,,,,,B3|B2|B1|R2|R3|R1,FL_429|FL_430,Native Minimization|Native Gov Rep,Black Gov Rep|Black Minimization,BFCommon|BFMediaCoverage|RFMediaCoverage|RFCommon,BFImportant|RFImportant,8|1|4|2|5|7|6|3,2|5|4|1|3|7|8|6,3|10|8|9|6|2|1|5|4|7,2|8|9|5|6|10|3|1|4|7,2|3|5|4|1|6,4|3|1|5|2|6,9|2|8|4|1|5|3|6|7,2|6|1|5|7|4|3|9|8,39.74360657,-86.11579895,-1
R_2q4UwSLQLY0eIZT,Default Response Set,Anonymous,,,96.36.9.9,0,4/30/2019 12:05,4/30/2019 12:28,1,Sarah,Anne,Brett,Todd,Emily,Kristen,R_2q4UwSLQLY0eIZT,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,2,6,2,4,1,2,6,2,4,1,2,6,2,4,9.913,47.62,49.828,8,3,2,2,5,4,4,2,2,4.959,25.593,26.82,7,1,7,1,1,1,2,7.061,71.878,72.499,12,5,2,6,3,3,2,2,2,4,2,6.607,62.234,63.875,10,6,4,6,3,6,6,2,7,2,1,1,6,4,4,2,1,6,4,6,2,1,6,4,4,2,14.25,62.403,64.299,9,3,1,1,1,2,1,2,1,8.067,42.128,43.708,6,1,6,1,6,2,6,8.489,63.807,65.13,10,6,1,6,2,2,2,2,6,2,6,9.325,65.941,67.085,11,6,3,6,2,4,6,4,6,2,1,1,2,2,6,6,I think the same because it is a reflection of blacks and native americans,3,1,,United States,52,Michigan,52,1,1,1,,2,3,,1,52,3,,6,1,thank you,1,1,FL_468,FL_465,FL_460,FL_456,FL_454,FL_445,FL_304,,,,,R1|R3|R2,Native Minimization|Native Gov Rep,B2|B1|B3,Black Minimization|Black Gov Rep,,,,,RFCommon|RFMediaCoverage|BFCommon|BFMediaCoverage,RFImportant|BFImportant,2|6|5|7|4|1|8|3,6|5|3|7|2|1|4|8,2|9|8|6|1|10|5|7|4|3,2|10|5|9|6|3|4|7|8|1,2|4|3|5|1|6,4|1|5|3|2|6,7|2|4|6|5|9|3|1|8,3|2|6|1|8|7|9|4|5,43.95469666,-86.28009796,-1
R_1LIPwFIItgQSD2W,Default Response Set,Anonymous,,,72.213.42.216,0,4/30/2019 12:14,4/30/2019 12:28,1,Sarah,Mathew,Allison,Claire,Connor,Wyatt,R_1LIPwFIItgQSD2W,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,5,2,5,1,1,6,7,5,2,1,3,7,2,4,8.026,30.978,31.881,9,5,2,2,4,4,3,2,2,4.148,19.116,19.886,6,1,7,3,1,1,2,3.998,34.366,35.325,10,7,1,7,1,1,1,1,7,4,7,5.995,34.859,35.718,11,7,4,7,1,5,7,1,7,1,,1,5,3,4,4,1,6,5,5,2,1,3,7,4,4,21.511,57.67,58.637,9,3,2,2,3,2,1,2,1,6.884,34.571,35.57,9,2,5,2,3,5,4,5.701,46.693,47.375,12,7,1,7,1,1,1,1,5,4,6,3.904,40.134,40.671,10,7,4,7,1,7,7,1,6,1,2,2,4,4,2,2,"I do.  It's okay for a minority to dress up as white (White Chicks) and no one says anything, but if a white person dresses up as any other race, oh my goodness it's racism.   It's not right.",5,1,,,,Nebraska,29,1,1,1,,2,3,,2,44,3,,5,3,,1,1,FL_468,FL_464,FL_461,FL_457,FL_453,FL_444,FL_418,,,,,,,,,B3|B1|R2|R3|R1|B2,FL_429|FL_430,Native Minimization|Native Gov Rep,Black Minimization|Black Gov Rep,BFCommon|RFMediaCoverage|RFCommon|BFMediaCoverage,RFImportant|BFImportant,5|3|7|2|4|1|8|6,3|5|6|1|7|4|8|2,1|9|4|7|8|3|6|2|5|10,10|8|5|7|6|9|1|3|2|4,3|5|1|2|4|6,5|2|4|1|3|6,3|9|8|1|2|6|4|5|7,7|4|9|1|8|6|2|3|5,41.20930481,-96.05480194,-1
R_UgssikUeTGDQK5z,Default Response Set,Anonymous,,,173.239.232.36,0,4/30/2019 12:28,4/30/2019 12:28,1,Greg,Mathew,Brett,Todd,Connor,Kristen,R_UgssikUeTGDQK5z,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_464,FL_460,FL_456,FL_453,FL_445,,,,,,,,,,,,,,,,,,,,,,,,33.02029419,-96.70189667,-1
R_1GOMmj4cHde5oyy,Default Response Set,Anonymous,,,73.175.124.51,0,4/30/2019 12:19,4/30/2019 12:28,1,Greg,Anne,Brett,Claire,Emily,Wyatt,R_1GOMmj4cHde5oyy,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,3,4,3,4,1,3,4,3,5,1,3,3,4,4,1.788,9.999,19.413,8,3,2,3,4,3,2,3,3,1.731,4.51,14.586,6,4,4,4,3,4,5,1.52,8.438,26.245,10,4,3,4,4,5,3,4,4,3,3,1.798,8.751,23.082,9,5,5,4,5,4,3,4,3,3,1,1,3,4,3,4,1,3,3,4,4,1,3,4,3,4,3.154,7.563,16.097,8,3,2,2,3,2,2,2,2,1.656,6.022,11.002,7,4,4,3,2,3,3,1.601,7.698,28.924,10,4,3,4,3,5,4,3,5,4,4,1.671,71.421,75.017,13,3,3,4,4,4,3,3,2,5,2,2,2,3,4,4,"Probably, but they're both tacky and somewhat wrong.",1,1,1,NA,NA,PA,37,1,1,1,,2,1,,2,37,3,,2,5,NA,1,1,FL_467,FL_465,FL_460,FL_457,FL_454,FL_444,FL_288,B1|B2|B3,Black Minimization|Black Gov Rep,R3|R2|R1,Native Minimization|Native Gov Rep,,,,,,,,,BFCommon|RFCommon|BFMediaCoverage|RFMediaCoverage,RFImportant|BFImportant,2|4|3|7|5|1|8|6,1|2|3|6|5|7|4|8,10|2|9|4|1|7|3|5|8|6,3|9|5|7|8|6|4|10|1|2,2|4|3|5|1|6,1|2|5|4|3|6,3|9|1|4|7|6|5|2|8,1|8|3|7|4|2|5|6|9,40.38119507,-76.4367981,-1
R_3R43MKB3y7kYtjg,Default Response Set,Anonymous,,,73.49.97.191,0,4/30/2019 12:13,4/30/2019 12:28,1,Greg,Mathew,Allison,Todd,Emily,Wyatt,R_3R43MKB3y7kYtjg,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,1,7,1,5,1,1,7,1,5,1,1,7,1,6,4.574,39.291,42.977,9,2,1,1,4,3,1,1,1,5.88,42.621,43.435,7,2,4,4,5,1,4,4.936,40.252,41.578,11,7,1,7,1,1,2,4,3,2,4,5.146,192.164,193.784,10,3,1,6,1,1,4,7,5,1,1,1,1,7,1,4,1,1,7,1,6,1,1,7,1,6,3.609,20.26,21.473,9,1,1,1,2,1,1,1,1,3.872,22.411,23.271,7,4,2,1,4,6,5,4.872,43.454,44.596,10,3,5,2,5,5,4,3,3,2,5,4.134,25.553,26.766,10,1,1,1,3,1,1,6,2,6,2,1,3,5,5,4,People react more negatively to blackface and redface because more media outlet benefit from the coverage.,4,1,1,,,Pennsylvania,54,1,1,2,,4,2,,4,61,3,,6,4,n/a,1,1,FL_467,FL_464,FL_461,FL_456,FL_454,FL_444,FL_288,B2|B1|B3,Black Minimization|Black Gov Rep,R2|R3|R1,Native Gov Rep|Native Minimization,,,,,,,,,RFMediaCoverage|RFCommon|BFCommon|BFMediaCoverage,RFImportant|BFImportant,1|7|6|2|8|5|4|3,8|2|5|3|7|1|6|4,2|8|7|10|6|4|1|3|9|5,6|5|8|1|10|3|7|9|4|2,3|4|2|5|1|6,1|5|2|4|3|6,3|6|8|5|7|4|2|1|9,4|8|5|6|3|2|7|1|9,27.29130554,-80.29769897,-1
R_tRH4BDhH0zfwU1P,Default Response Set,Anonymous,,,97.98.209.91,0,4/30/2019 12:28,4/30/2019 12:29,1,Greg,Anne,Allison,Todd,Connor,Wyatt,R_tRH4BDhH0zfwU1P,,,,,,,,,1,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_467,FL_465,FL_461,FL_456,FL_453,FL_444,,,,,,,,,,,,,,,,,,,,,,,,40.7848053,-96.64309692,-1
R_3CCvUdS6T11xrRU,Default Response Set,Anonymous,,,174.255.134.168,0,4/30/2019 12:12,4/30/2019 12:29,1,Sarah,Mathew,Allison,Claire,Emily,Wyatt,R_3CCvUdS6T11xrRU,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,6,7,4,1,1,6,7,6,1,1,6,7,1,4,2.854,107.802,108.834,29,2,1,4,3,3,2,3,4,1.86,36.384,37.337,19,1,7,7,1,1,2,1.346,61.389,62.466,32,7,1,7,1,1,1,6,6,6,5,1.334,38.912,39.88,27,7,1,7,1,1,7,1,7,1,1,1,6,7,7,1,1,6,7,1,7,1,6,7,6,1,6.54,42.999,43.791,33,4,2,3,2,3,3,4,5,1.486,24.601,25.433,20,5,5,1,7,7,1,1.255,62.611,63.81,32,7,2,7,1,1,1,1,7,1,7,1.388,37.001,38.693,28,1,1,1,7,1,3,7,7,5,2,2,2,2,4,4,Yes because it seems to be almost accepted in society to do such a thing as red face,5,1,,,,Texas,50,1,1,1,,6,3,,6,50,3,,7,3,None,1,1,FL_468,FL_464,FL_461,FL_457,FL_454,FL_444,FL_288,B3|B1|B2,Black Gov Rep|Black Minimization,R2|R1|R3,Native Minimization|Native Gov Rep,,,,,,,,,RFMediaCoverage|BFMediaCoverage|BFCommon|RFCommon,RFImportant|BFImportant,6|1|5|2|7|3|8|4,2|1|4|3|8|5|6|7,2|7|6|1|5|9|10|8|4|3,9|5|7|8|1|6|3|2|4|10,1|3|4|2|5|6,1|2|3|4|5|6,5|4|7|1|3|2|6|9|8,6|9|8|3|2|1|5|7|4,37.75100708,-97.8219986,-1
R_3NJmuOjJuAofDSQ,Default Response Set,Anonymous,,,98.214.27.207,0,4/30/2019 12:14,4/30/2019 12:29,1,Sarah,Mathew,Allison,Claire,Connor,Kristen,R_3NJmuOjJuAofDSQ,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,2,6,2,6,1,2,6,4,4,1,2,6,1,7,7.179,49.77,50.983,8,3,3,3,4,3,2,3,3,8.339,27.403,29.281,6,1,7,2,2,2,2,5.219,52.331,53.517,10,3,4,3,5,5,6,6,2,3,3,7.121,54.528,55.932,9,3,2,3,4,3,5,4,5,5,1,1,2,6,2,6,1,2,6,2,6,1,2,6,2,6,6.715,36.82,38.418,8,3,3,3,3,2,3,3,3,5.007,25.799,28.317,6,2,6,2,2,4,2,7.268,45.66,47.358,10,2,5,2,6,5,6,5,2,2,2,6.684,47.579,49.134,9,3,5,3,5,5,5,5,3,6,3,2,3,3,6,6,"Probably, because their circumstances are somewhat different.",4,1,1,N/A,N/A,Illinois,35,1,1,1,,4,3,,4,46,3,,3,4,Thank you,1,1,FL_468,FL_464,FL_461,FL_457,FL_453,FL_445,FL_288,B3|B2|B1,Black Gov Rep|Black Minimization,R2|R3|R1,Native Gov Rep|Native Minimization,,,,,,,,,BFCommon|RFCommon|RFMediaCoverage|BFMediaCoverage,BFImportant|RFImportant,4|1|8|7|6|3|2|5,3|8|1|7|2|5|6|4,7|6|10|4|9|5|3|2|8|1,4|7|10|3|6|8|2|1|9|5,3|2|1|5|4|6,3|4|2|1|5|6,3|1|8|9|7|2|6|4|5,9|7|6|5|8|1|4|2|3,42.29910278,-89.6344986,-1
R_3QVtZNPjacSYZPj,Default Response Set,Anonymous,,,184.101.192.247,0,4/30/2019 12:17,4/30/2019 12:29,1,Greg,Mathew,Brett,Claire,Emily,Wyatt,R_3QVtZNPjacSYZPj,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,4,6,4,1,1,7,5,5,1,1,4,6,3,1,5.266,27.964,29.038,11,2,2,1,5,4,2,3,2,4.447,15.77,16.725,7,1,7,1,1,1,4,2.991,34.361,35.671,14,7,1,7,1,1,2,1,4,1,5,2.583,29.074,30.63,14,7,7,7,1,7,7,1,7,2,1,1,4,5,3,4,1,7,4,7,2,1,5,4,4,4,8.148,31.315,32.199,10,3,1,1,2,2,2,2,1,9.338,29.256,30.014,11,1,5,3,1,3,3,3.423,35.752,36.638,13,7,1,7,1,1,3,2,4,2,4,3.741,30.113,31.287,13,7,7,7,1,7,7,1,7,2,1,1,2,2,4,4,"I think either people are prejudice or not.   Everyone that is, responds equally in their hate.",3,1,1,,Born here,Hawaii,28,1,1,6,,4,1,,,39,1,,1,4,NO information,1,1,FL_467,FL_464,FL_460,FL_457,FL_454,FL_444,FL_304,,,,,R2|R3|R1,Native Gov Rep|Native Minimization,B2|B1|B3,Black Gov Rep|Black Minimization,,,,,RFCommon|BFCommon|BFMediaCoverage|RFMediaCoverage,BFImportant|RFImportant,8|2|3|1|5|6|4|7,5|2|4|8|3|1|7|6,8|9|7|4|2|3|1|5|6|10,8|3|1|7|4|10|2|6|9|5,5|3|2|1|4|6,5|3|1|4|2|6,5|1|2|6|7|3|9|4|8,9|1|2|3|6|4|5|8|7,33.39840698,-111.6512985,-1
R_sBC0lznnR47CvCN,Default Response Set,Anonymous,,,71.15.225.180,0,4/30/2019 12:21,4/30/2019 12:29,1,Greg,Anne,Brett,Claire,Emily,Kristen,R_sBC0lznnR47CvCN,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,1,6,1,6,1,1,6,1,5,1,1,6,1,6,4.32,16.401,17.668,8,2,3,2,4,4,4,3,2,2.581,9.58,10.345,6,2,6,2,2,2,2,3.279,22.145,23.014,10,6,6,4,6,5,4,5,2,2,2,3.37,20.836,21.401,11,6,4,6,2,4,5,2,6,2,1,1,3,3,4,2,1,3,5,2,6,1,3,6,4,3,4.072,21.43,22.914,8,1,2,2,2,2,1,2,2,20.343,30.772,31.775,6,4,5,2,4,6,5,3.378,26.022,26.632,11,6,5,4,6,6,6,4,2,4,3,3.417,23.549,24.85,10,2,4,2,6,3,3,6,5,6,3,1,3,3,7,7,I think a lot of it is contextual and perpetuated by what we have been conditioned to find acceptable in the media. Also I think a lot of people feel that wearing a native american costume is perfectly acceptable but would draw the line at actually painting their skin a different and offensive color. ,4,1,,,,South Carolina,39,1,1,1,,3,4,,2,43,3,,6,2,,1,1,FL_467,FL_465,FL_460,FL_457,FL_454,FL_445,FL_304,,,,,R3|R2|R1,Native Minimization|Native Gov Rep,B2|B3|B1,Black Minimization|Black Gov Rep,,,,,RFMediaCoverage|BFCommon|BFMediaCoverage|RFCommon,BFImportant|RFImportant,5|1|6|7|4|8|3|2,6|7|4|1|2|5|3|8,4|6|5|1|7|2|8|3|10|9,6|5|9|10|1|7|8|4|2|3,5|1|2|3|4|6,4|2|1|3|5|6,3|8|4|1|2|6|9|7|5,8|9|4|2|1|5|7|3|6,35.04649353,-81.98179626,-1
R_3QKkg0tufqvXyEo,Default Response Set,Anonymous,,,73.61.20.82,0,4/30/2019 12:08,4/30/2019 12:29,1,Greg,Anne,Allison,Todd,Emily,Kristen,R_3QKkg0tufqvXyEo,,,,,,,,,1,1,1,1,,,,1,,,,,,1,1,1,2,6,2,6,1,6,2,6,2,1,2,6,2,6,1.116,37.892,39.927,12,3,2,2,4,4,2,2,2,1.014,22.094,23.155,8,1,7,1,1,1,2,0.893,44.322,49.546,19,6,1,6,2,4,2,5,3,5,3,1.073,39.479,41.3,16,5,5,5,2,6,5,5,6,4,1,1,2,5,2,4,1,6,2,6,2,1,2,6,2,6,1.021,45.533,46.788,12,2,1,1,2,1,1,2,1,1.083,43.528,44.3,14,3,5,3,4,5,6,0.953,46.346,48.759,15,5,2,4,4,5,5,3,4,4,4,0.994,43.107,44.201,14,4,6,4,4,6,5,5,5,4,2,2,2,2,2,2,no. neither are acceptable in today's society. ,4,1,1,,,Massachusetts,53,1,1,1,,4,3,,2,53,2,,1,4,,1,1,FL_467,FL_465,FL_461,FL_456,FL_454,FL_445,FL_304,,,,,R1|R2|R3,Native Gov Rep|Native Minimization,B2|B1|B3,Black Minimization|Black Gov Rep,,,,,RFCommon|BFMediaCoverage|RFMediaCoverage|BFCommon,BFImportant|RFImportant,8|4|5|6|1|7|3|2,8|1|7|3|4|6|2|5,8|2|5|3|4|6|7|1|10|9,3|1|7|9|4|2|6|5|8|10,5|1|4|2|3|6,4|3|1|5|2|6,5|1|3|7|9|6|4|2|8,4|3|8|5|6|7|9|1|2,42.3657074,-71.05599976,-1
R_3J9v6ZHNiKou5zU,Default Response Set,Anonymous,,,75.76.52.128,0,4/30/2019 12:10,4/30/2019 12:29,1,Greg,Anne,Brett,Claire,Emily,Kristen,R_3J9v6ZHNiKou5zU,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,5,6,6,1,1,6,2,6,1,1,6,2,1,1,3.222,40.359,41.648,14,3,2,2,5,4,3,2,1,4.671,28.515,30.662,8,1,7,1,1,1,5,3.41,47.223,48.215,15,7,2,6,1,6,1,6,3,3,6,4.817,36.613,37.935,12,7,2,7,1,6,6,1,6,2,1,1,6,5,3,2,1,6,2,6,2,1,6,3,6,2,6.802,43.665,45.021,11,3,2,1,3,2,1,2,2,3.502,31.843,33.863,8,2,4,2,6,5,6,4.798,128.798,129.978,14,7,3,6,2,6,1,6,5,6,5,3.646,58.604,59.503,13,5,2,6,3,4,6,3,6,5,2,3,3,5,5,2,"Native Americans do not have the same media coverage for any real or perceived slights against them. For African Americans, however, the most insignificant behavior that goes against the black community is national news. People are more conditioned not to be  labeled as prejudice against blacks to avoid being named as a racist.",4,1,1,N/A,N/A,Florida,60,0,1,1,,3,3,,2,63,3,,6,2,None,1,1,FL_467,FL_465,FL_460,FL_457,FL_454,FL_445,FL_304,,,,,R3|R1|R2,Native Gov Rep|Native Minimization,B1|B3|B2,Black Minimization|Black Gov Rep,,,,,RFCommon|BFCommon|BFMediaCoverage|RFMediaCoverage,BFImportant|RFImportant,4|8|3|6|5|2|7|1,7|3|8|5|6|2|4|1,4|2|9|5|3|8|6|7|1|10,9|3|8|4|6|10|5|1|2|7,2|1|3|5|4|6,1|2|3|4|5|6,2|7|4|3|9|5|8|1|6,7|8|4|2|6|1|5|9|3,27.78889465,-82.71920013,-1
R_2qgBZTyg4OO7aW4,Default Response Set,Anonymous,,,24.246.151.139,0,4/30/2019 12:19,4/30/2019 12:29,1,Sarah,Anne,Brett,Todd,Connor,Kristen,R_2qgBZTyg4OO7aW4,,,,,,,,,1,1,1,2,,,,1,,,,,,1,1,1,4,5,2,5,1,4,5,2,5,1,2,6,2,5,4.237,27.281,27.855,22,4,2,4,4,5,2,3,3,2.114,16.122,17.02,14,1,6,2,2,1,5,3.761,30.576,31.4,25,6,3,6,1,3,2,5,7,5,2,3.222,32.172,33.859,23,2,7,6,7,7,2,2,5,7,1,1,6,4,7,1,1,7,2,7,1,1,5,5,5,2,5.585,36.544,37.636,19,4,3,3,4,5,5,4,4,3.585,16.833,17.943,14,2,6,1,2,2,1,3.262,38.33,39.218,25,5,1,6,2,2,2,1,3,2,4,4.08,36.014,37.63,23,3,2,5,6,4,6,2,4,2,3,2,4,5,2,2,not really,3,1,1,us,0,florida,30,1,1,1,,3,3,,6,45,3,,6,2,n/a,1,1,FL_468,FL_465,FL_460,FL_456,FL_453,FL_445,FL_304,,,,,R1|R2|R3,Native Gov Rep|Native Minimization,B3|B2|B1,Black Gov Rep|Black Minimization,,,,,BFCommon|RFCommon|RFMediaCoverage|BFMediaCoverage,BFImportant|RFImportant,8|6|3|1|4|5|2|7,7|1|8|2|6|4|3|5,2|4|1|10|3|5|9|8|7|6,7|10|9|3|5|2|1|8|6|4,5|4|3|2|1|6,2|3|5|1|4|6,7|6|8|3|2|1|4|9|5,3|6|4|7|9|1|2|5|8,36.40899658,-81.43959808,-1
R_2v6LGgaDuswClWM,Default Response Set,Anonymous,,,99.174.223.11,8,4/30/2019 12:28,4/30/2019 12:29,1,Sarah,Mathew,Brett,Claire,Emily,Kristen,R_2v6LGgaDuswClWM,,,,,,,,,1,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL_468,FL_464,FL_460,FL_457,FL_454,FL_445,,,,,,,,,,,,,,,,,,,,,,,,34.04960632,-81.11100006,-1
